epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,997.683,1.38691,2.08127,1.37798,0.41728,0.4408,0.45795,0.31001,1.54081,2.57005,1.51131,4.753e-05,4.753e-05,4.753e-05
55,1014.68,1.33828,1.90239,1.28726,0.4208,0.43868,0.46447,0.31809,1.53466,2.55443,1.50515,4.654e-05,4.654e-05,4.654e-05
56,1042.87,1.38917,1.99772,1.32968,0.47437,0.4466,0.46752,0.31904,1.53257,2.54605,1.50137,4.555e-05,4.555e-05,4.555e-05
57,1076.98,1.29068,1.963,1.28379,0.45292,0.46684,0.46088,0.3113,1.53682,2.54909,1.50279,4.456e-05,4.456e-05,4.456e-05
58,1101.08,1.40904,1.82645,1.31869,0.46153,0.45591,0.46361,0.31476,1.535,2.54741,1.49747,4.357e-05,4.357e-05,4.357e-05
59,1119.9,1.35509,2.0926,1.27964,0.42101,0.44554,0.45636,0.30812,1.53948,2.54414,1.50492,4.258e-05,4.258e-05,4.258e-05
60,1146.07,1.36271,1.74608,1.28787,0.44765,0.41819,0.45583,0.31228,1.53894,2.52878,1.50154,4.159e-05,4.159e-05,4.159e-05
61,1176.89,1.31717,1.98784,1.29023,0.43688,0.41996,0.45935,0.31041,1.54601,2.52315,1.51092,4.06e-05,4.06e-05,4.06e-05
62,1203.97,1.35676,1.94653,1.32318,0.42007,0.43957,0.44774,0.30814,1.55021,2.53197,1.51311,3.961e-05,3.961e-05,3.961e-05
63,1224.07,1.35489,1.86801,1.32793,0.41745,0.45124,0.438,0.29587,1.55006,2.53765,1.50972,3.862e-05,3.862e-05,3.862e-05
64,1244.89,1.33148,2.03988,1.30039,0.42725,0.47368,0.43955,0.29678,1.5541,2.53241,1.51601,3.763e-05,3.763e-05,3.763e-05
65,1264.33,1.3341,2.04951,1.31077,0.4132,0.44586,0.45154,0.31109,1.55367,2.54974,1.51482,3.664e-05,3.664e-05,3.664e-05
66,1283.26,1.37475,1.85615,1.31655,0.41627,0.45532,0.44869,0.30497,1.55716,2.53034,1.51208,3.565e-05,3.565e-05,3.565e-05
67,1302.34,1.30105,2.0932,1.29844,0.44168,0.46226,0.44631,0.30407,1.55823,2.53879,1.51718,3.466e-05,3.466e-05,3.466e-05
68,1320.9,1.41343,1.83721,1.33251,0.47163,0.42457,0.4679,0.32156,1.56094,2.5249,1.51885,3.367e-05,3.367e-05,3.367e-05
69,1342.27,1.34168,1.89072,1.28567,0.49374,0.41458,0.46754,0.31877,1.55934,2.52561,1.51763,3.268e-05,3.268e-05,3.268e-05
70,1360.45,1.33993,1.74021,1.25346,0.4431,0.44572,0.46882,0.32234,1.55492,2.51067,1.51562,3.169e-05,3.169e-05,3.169e-05
71,1376.76,1.32379,1.91596,1.29897,0.44482,0.46602,0.46565,0.32004,1.55546,2.49955,1.5172,3.07e-05,3.07e-05,3.07e-05
72,1397.92,1.33577,1.71544,1.28506,0.45258,0.45748,0.47354,0.32424,1.55091,2.49186,1.51469,2.971e-05,2.971e-05,2.971e-05
73,1416.33,1.21647,1.88029,1.25413,0.4571,0.4629,0.47955,0.32374,1.55381,2.48936,1.51721,2.872e-05,2.872e-05,2.872e-05
74,1436.31,1.30868,1.97485,1.34523,0.45694,0.46119,0.48035,0.32489,1.5483,2.4775,1.5134,2.773e-05,2.773e-05,2.773e-05
75,1455.82,1.3837,1.79812,1.28696,0.47048,0.45043,0.48152,0.32309,1.55397,2.464,1.51542,2.674e-05,2.674e-05,2.674e-05
76,1472.96,1.41215,1.88398,1.3232,0.48036,0.45654,0.49254,0.33286,1.55836,2.45667,1.5178,2.575e-05,2.575e-05,2.575e-05
77,1489.87,1.31303,1.88377,1.31459,0.49892,0.45356,0.49342,0.33394,1.55624,2.45501,1.51655,2.476e-05,2.476e-05,2.476e-05
78,1514.19,1.32266,1.85533,1.29079,0.50813,0.45009,0.4927,0.33427,1.55604,2.45695,1.51974,2.377e-05,2.377e-05,2.377e-05
79,1537.98,1.26577,1.78632,1.24371,0.51702,0.43062,0.48975,0.33129,1.55445,2.47303,1.52273,2.278e-05,2.278e-05,2.278e-05
80,1556.43,1.35326,1.81498,1.34212,0.50282,0.43168,0.48333,0.32991,1.55515,2.48758,1.52132,2.179e-05,2.179e-05,2.179e-05
81,1577.02,1.32987,1.71767,1.28467,0.47023,0.42604,0.48162,0.3283,1.55957,2.46946,1.53095,2.08e-05,2.08e-05,2.08e-05
82,1605.78,1.24695,1.87684,1.2441,0.44733,0.43848,0.47994,0.32677,1.56037,2.46504,1.5332,1.981e-05,1.981e-05,1.981e-05
83,1623.72,1.27072,1.86141,1.27826,0.43237,0.45217,0.47369,0.32193,1.56674,2.47792,1.53972,1.882e-05,1.882e-05,1.882e-05
84,1640.47,1.34103,1.84772,1.30887,0.44005,0.45045,0.47428,0.32111,1.56993,2.48007,1.53903,1.783e-05,1.783e-05,1.783e-05
85,1662.1,1.20956,1.82065,1.23256,0.44199,0.45057,0.4725,0.321,1.56998,2.4791,1.54103,1.684e-05,1.684e-05,1.684e-05
86,1680.35,1.24828,1.91467,1.24907,0.44365,0.45093,0.47443,0.3225,1.56718,2.49279,1.5408,1.585e-05,1.585e-05,1.585e-05
87,1701.5,1.32999,1.74163,1.25784,0.4342,0.47533,0.47104,0.31806,1.56774,2.47135,1.54371,1.486e-05,1.486e-05,1.486e-05
88,1722.2,1.28332,1.79091,1.27784,0.4207,0.47947,0.47027,0.31816,1.56827,2.47025,1.53988,1.387e-05,1.387e-05,1.387e-05
89,1741.91,1.37626,1.87477,1.30686,0.45132,0.46907,0.47324,0.32059,1.56443,2.48469,1.53318,1.288e-05,1.288e-05,1.288e-05
90,1768.68,1.24883,1.84601,1.279,0.45188,0.47744,0.47465,0.31603,1.56476,2.48846,1.53049,1.189e-05,1.189e-05,1.189e-05
